acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label
-0.065905116,-0.060547702,0.911182523,0.029962502,-0.013726933,-0.070979886,40:06.8,38.1,57,-0.085281717,-0.080931291,0.938842118,0.016182356,0.055515811,0.071133301,40:37.0,29.7,74.9,01:14.9,5
0.059156805,-0.041249629,0.947980762,0.005833328,-0.01708669,-0.058151718,40:07.3,38.6,58,-0.05961081,-0.033771626,1.003056258,0.079026626,-0.010957095,0.038852839,40:38.1,30.2,76,01:16.0,5
0.059156805,-0.029912012,0.81126684,0.082802355,0.020481521,-0.034327973,40:07.8,39.1,59,-0.125762764,-0.135930791,0.860006183,0.038995774,-0.017578444,0.045919079,40:39.1,30.7,77,01:17.0,5
-0.051094979,-0.028705882,1.039854407,-0.005773112,0.037585746,-0.060289748,40:08.4,39.7,60,-0.074297534,-0.047642113,1.021211594,-0.089896798,-0.082482876,0.062717872,40:40.2,31.3,78.1,01:18.1,5
-0.125886187,-0.071402863,1.137820601,0.028435342,-0.009145442,0.144350111,40:08.9,40.2,61,-0.040481047,0.003928548,0.877430499,0.008605225,-0.019563755,0.118001185,40:41.2,31.8,79.1,01:19.1,5
-0.085405134,-0.012543746,0.956022739,-0.102595255,0.036974881,0.007821728,40:09.5,40.7,62,0.065880451,-0.017874174,0.722683042,0.111536019,-0.06110259,0.600279264,40:42.3,32.3,80.2,01:20.2,5
0.094069012,-0.008442907,1.051064491,0.113956481,0.027811905,-0.343425781,40:10.0,41.3,63,-0.181053948,-0.051622342,1.072022438,-0.037667818,-0.055299373,-0.035478711,40:43.4,32.9,81.3,01:21.3,2
-0.027398758,0.047830135,0.549292684,0.306073606,-0.017392123,0.175809667,40:10.5,41.8,64,0.736671865,0.093779055,1.222505212,-0.080733821,0.163543105,-0.673832908,40:44.5,33.4,82.4,01:22.4,3
-0.15896216,-0.045591693,1.013535261,-0.030513156,-0.024111642,0.20604749,40:11.0,42.3,65,-0.254117303,-0.058978948,0.834539831,-0.021938037,-0.049038004,0.636014916,40:45.5,33.9,83.4,01:23.4,2
-0.005183549,-0.110240236,0.841485202,0.058978602,-0.021973614,-0.178186744,40:11.6,42.9,66,0.015879352,-0.062274627,0.943350464,-0.000863183,-0.004750273,0.417935997,40:46.6,34.5,84.5,01:24.5,4
0.107645988,-0.098178938,0.946762264,0.010720246,0.058660597,-0.223085344,40:12.1,43.4,67,0.080564804,0.020219957,0.990262151,-0.063171443,-0.062782472,-0.167272897,40:47.6,35,85.5,01:25.5,4
-0.047145609,-0.189362332,1.007199049,0.050121054,0.021092387,0.202382311,40:12.6,43.9,68,0.009697837,-0.112652496,0.943472326,0.015630174,0.003190976,-0.065869259,40:48.7,35.5,86.6,01:26.6,4
-0.139708966,-0.140393466,1.118812203,-0.100151792,-0.050684281,0.111668818,40:13.1,44.4,69,0.029428647,0.009109421,0.943837911,0.00969081,-0.003021639,-0.009895405,40:49.8,36,87.7,01:27.7,5
-0.015550646,0.032534208,1.085425854,-0.170095861,-0.037856109,-0.158333629,40:13.7,45,70,-0.033322812,0.030834658,0.961140364,0.000973839,0.001305288,-0.002575534,40:50.9,36.6,88.8,01:28.8,5
0.047519401,-0.11313495,0.848552465,0.029657073,-0.02288991,-0.041047491,40:14.2,45.5,71,-0.00111076,0.02974209,0.962846249,2.21878E-05,-0.001209907,-0.000277749,40:52.0,37.1,89.9,01:29.9,5
-0.051341813,-0.10010875,1.054719925,-0.250424623,0.021703253,0.01270865,40:14.7,46,72,-0.000740507,0.027071372,0.961018533,0.000674531,-0.00068759,-0.002375186,40:53.1,37.6,91,01:31.0,5
-0.05405701,-0.079363316,0.879501939,0.078831717,-0.006396549,0.049055133,40:15.3,46.6,73,-0.004264247,0.052200401,0.927510172,-0.000876606,-0.004215002,0.042310672,40:54.3,38.2,92.2,01:32.2,1
-0.056031693,-0.099385075,1.07762742,-0.261725664,-0.060458124,-0.016918313,40:15.8,47.1,74,0.051762204,0.072594978,0.960043699,-0.065617714,-0.002679597,0.10463997,40:55.3,38.7,93.2,01:33.2,1
-0.05726587,-0.037148785,1.075434208,-0.014019795,-0.003953089,-0.066398397,40:16.3,47.6,75,0.010984013,0.024592571,0.993430227,-0.024384309,-0.001916016,0.023242175,40:56.4,39.2,94.3,01:34.3,1
-0.106633,-0.025569946,1.361046791,-0.247370318,0.026284741,-0.112824157,40:16.8,48.1,76,-0.016044317,0.112534358,1.102728248,-0.038892359,0.022518594,0.053785441,40:57.4,39.7,95.3,01:35.3,1
-0.083183609,-0.124955006,0.937014401,0.001251839,-0.024417074,-0.011115094,40:17.4,48.7,77,0.081461829,0.155630037,0.82905668,0.093665399,-0.046814611,-0.200334515,40:58.5,40.3,96.4,01:36.4,5
0.035881996,-0.059100345,1.199719548,-0.057085793,0.061104059,0.022787925,40:17.9,49.2,78,-0.021374921,-0.000109579,0.821867615,-0.087914292,0.005414368,-0.377027288,40:59.5,40.8,97.4,01:37.4,5
-0.066398792,-0.049451306,1.052282929,-0.061667282,0.017121762,0.027063984,40:18.4,49.7,79,-0.20400966,-0.008782811,1.073971987,0.058693366,-0.127754256,1.042928994,41:00.6,41.3,98.5,01:38.5,2
-0.028632935,0.068710297,1.101266026,-0.039981566,0.073321365,-0.089916706,40:19.0,50.2,80,0.146316105,0.062397692,0.959800035,0.078393769,-0.008635532,-0.28417577,41:01.7,41.8,99.6,01:39.6,5
0.011152512,-0.087564997,1.090299726,-0.016768686,-0.050378848,-0.043185521,40:19.5,50.8,81,0.165954232,0.065718474,0.758384615,-0.02346801,0.039011956,-1.179398775,41:02.7,42.4,100.6,01:40.6,3
-0.088614002,-0.106380619,1.015728474,-0.017990418,0.004293592,-0.016612882,40:20.0,51.3,82,0.22692937,-0.080328222,1.03388384,0.042505436,0.070166081,-1.525912106,41:03.8,42.9,101.7,01:41.7,3
-0.045911428,-0.018574392,0.903140485,0.030267939,-0.050378848,-0.084418923,40:20.6,51.9,83,0.143285535,-0.169461191,0.781779468,-0.094786528,0.134459648,-0.743546441,41:04.8,43.5,102.7,01:42.7,5
-0.004936713,-0.049210083,0.831981063,0.038209185,-0.012505202,0.137936026,40:21.1,52.4,84,0.01411994,-0.187914975,1.056182086,-0.047902621,-0.022685434,-0.084270109,41:05.9,44,103.8,01:43.8,5
-0.058500048,-0.02002175,0.83246839,0.053480819,-0.000287897,0.069824554,40:21.6,52.9,85,0.008631479,-0.098661397,0.927510202,-0.025606038,0.02022785,0.049814815,41:07.0,44.5,104.9,01:44.9,4
