acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
0.036851779,0.642914712,0.577317834,-0.050056219,0.009017305,-0.036311377,33:50.1,88.4,73,0.036973003,0.69438678,0.605464786,0.020935386,0.124224719,0.043910441,34:29.4,38.7,110.9,01:50.9,2,
-0.046405103,0.759697974,0.631418526,0.004921645,-0.044738837,-0.048528682,33:50.7,88.9,74,-0.162333944,0.642550558,0.660662144,-0.004873671,0.58985676,0.614763986,34:30.4,39.2,112,01:52.0,2,
-0.049120296,0.735418677,0.588284194,-0.017374933,0.023983503,-0.029897289,33:51.2,89.4,75,0.000450615,0.635024011,0.770691305,-0.030377284,0.563284129,0.624385163,34:31.5,39.7,113,01:53.0,5,
0.071763992,0.721093953,0.58730942,-0.12610893,0.066438638,-0.010655035,33:51.7,90,76,0.015758985,0.747558326,0.762527436,0.022004407,-0.032309501,-0.051384537,34:32.6,40.3,114.1,01:54.1,5,
-0.011601276,0.730077267,0.58730942,-0.014944881,-0.007812408,-0.052771959,33:52.3,90.5,77,0.004685993,0.644857079,0.51797764,0.012688711,-0.012914528,-0.014885339,34:33.7,40.8,115.2,01:55.2,5,
-0.047639281,0.701913357,0.524923027,-0.024413288,0.023341721,0.024197061,33:52.8,91.1,78,0.02423193,0.819789141,0.69246462,0.018195372,0.029423264,0.003513088,34:34.7,41.4,116.3,01:56.3,5,
0.0237597,0.846617699,0.679914176,-0.076642275,0.002877734,-0.022839563,33:53.4,91.6,79,0.033093867,0.759697944,0.504574329,-0.057848491,-0.005818827,-0.009242612,34:35.8,41.9,117.4,01:57.4,5,
0.004364027,0.64947015,0.557334661,-0.021664396,0.007459224,-0.006957067,33:53.9,92.1,80,0.035397103,0.741367161,0.641775638,-0.064720713,-0.018036132,-0.042534769,34:36.9,42.4,118.4,01:58.4,5,
0.016486323,0.840790629,0.63507396,-0.06992276,-0.023694905,0.001900479,33:54.4,92.7,81,-0.016553352,0.775115311,0.610948026,-0.06960763,-0.023533919,-0.040244024,34:38.0,43,119.5,01:59.5,5,
0.048489183,0.736632705,0.617771506,-0.041822955,-0.010255869,6.79E-05,33:55.0,93.2,82,-0.00523403,0.754720718,0.690880567,-0.01829496,-0.001848203,-0.028179435,34:39.0,43.5,120.6,02:00.6,5,
-0.058500048,0.791018188,0.651645362,-0.054651126,-0.025222067,-0.028031917,33:55.5,93.7,83,-0.026477939,0.705919415,0.816018909,-0.060597368,0.836564332,0.771901339,34:40.1,44,121.7,02:01.7,2,
0.081704274,0.70045656,0.529553235,-0.02196984,-0.002925486,-0.052771959,33:56.0,94.3,84,-0.03412258,0.600061864,0.561112016,-0.046089329,0.138498083,0.156454585,34:41.2,44.6,122.7,02:02.7,2,
0.086068295,0.707254767,0.543443978,-0.006392777,0.018454798,-0.019785238,33:56.6,94.8,85,0.033093866,0.582580775,0.813094556,-0.050823532,0.08917072,0.08101273,34:42.3,45.1,123.8,02:03.8,3,
0.049943861,0.760911942,0.689174712,-0.109934419,0.009597252,0.007092834,33:57.1,95.4,86,0.327665649,0.510835558,0.557943955,-0.070371225,-0.865153462,-0.917293787,34:43.4,45.7,124.9,02:04.9,3,
0.049701411,0.778150201,0.679914176,-0.085194379,-0.004758081,0.010452592,33:57.6,95.9,87,-0.008037018,0.740031779,0.778855145,-0.012122404,-0.238243937,-0.1643799,34:44.5,46.2,126,02:06.0,5,
-0.065164611,0.690502107,0.771544218,-0.021053538,0.058771905,0.081923828,33:58.2,96.4,88,0.027922809,0.702156126,0.631418556,-0.037867554,-0.109036818,-0.109837685,34:45.6,46.7,127.1,02:07.1,3,
0.019638117,0.699728191,0.742544293,-0.035408869,-0.01850255,-0.020090669,33:58.7,97,89,0.156983733,0.692323029,0.670775563,-0.068868965,-0.760219172,-0.863950849,34:46.7,47.3,128.2,02:08.2,3,
0.021820132,0.715266883,0.643603384,-0.037241459,-0.002009188,-0.008178798,33:59.3,97.5,90,-0.182781801,0.654568762,0.837586075,-0.108880639,0.287720151,0.337162964,34:47.8,47.8,129.3,02:09.3,2,
0.02133524,0.785191178,0.64530921,-0.047626168,0.008070089,-0.001764713,33:59.8,98,91,-0.126688987,0.625312269,0.612166464,-0.074061312,0.366674468,0.428792745,34:48.9,48.3,130.4,02:10.4,2,
0.031760417,0.747801125,0.601931214,-0.040295795,-0.001398323,-0.005429904,34:00.3,98.6,92,9.91002E-05,0.74767974,0.696120054,-0.047946833,0.017106848,0.019971175,34:49.9,48.9,131.5,02:11.5,5,
0.030305739,0.799030364,0.5736624,-0.037852332,-0.016669953,-0.028031917,34:00.9,99.1,93,-0.219683729,0.719394386,0.623498395,-0.07054884,0.510075103,0.475065785,34:51.0,49.4,132.5,02:12.5,2,
0.021092795,0.77863574,0.576830447,-0.041212082,-0.014837357,-0.023450429,34:01.4,99.6,94,-0.135883024,0.498331755,0.446696348,-0.102161109,0.517863616,0.358237788,34:52.1,49.9,133.6,02:13.6,2,
0.08970499,0.813355148,0.592183352,-0.057400018,-0.032247018,-0.014287451,34:01.9,100.2,95,0.008364384,0.751443028,0.6801579,-0.052222885,0.097435627,0.067618667,34:53.2,50.5,134.7,02:14.7,5,
0.028123727,0.774508357,0.63166219,-0.055872858,-0.043242592,-0.047274172,34:02.5,100.7,96,0.004668434,0.723764658,0.817481071,-0.052833743,-0.014047279,-0.026301865,34:54.3,51,135.8,02:15.8,5,
