acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label,,,
-0.038506363,0.736147046,0.686737716,-0.041809544,-0.181878075,-0.230261087,42:59.9,1372.6,102,-0.046775354,0.707133353,0.629468948,-0.05825194,-0.014645922,-0.009548678,43:56.1,54.5,110.7,5,,,
0.009940282,0.658210695,0.619721055,-0.083042935,-0.216391966,-0.075101323,43:00.4,1373.1,103,-0.033939902,0.684796453,0.596569866,-0.066498615,-0.015104071,-0.009243245,43:57.2,55,111.8,5,,,
0.026669051,0.708225965,0.739863634,0.057456061,-0.116515502,-0.13496612,43:01.0,1373.7,104,0.031517969,0.635873735,0.589624554,-0.135373667,-0.025488781,0.011068026,43:58.4,55.6,112.9,5,,,
-0.00394937,0.69997102,0.676015079,-0.117862269,0.009017305,-0.046696085,43:01.5,1374.2,105,0.013842376,0.66088143,0.758872002,-0.027250528,-0.005024795,0.010151728,43:59.5,56.1,114,5,,,
-0.049120296,0.725464225,0.634099185,-0.092511341,-0.07008975,-0.075712182,43:02.1,1374.7,106,-0.02978709,0.689895093,0.731212378,-0.031679295,0.07591485,0.003584925,44:00.6,56.6,115.2,1,,,
0.040003575,0.576632321,0.869266629,0.002172753,0.01787485,-0.08456973,43:02.6,1375.3,107,0.072612552,0.73651129,0.57366237,-0.130792178,-0.096960012,-0.101178462,44:01.7,57.2,116.3,1,,,
-0.167601407,0.669864714,0.626544595,0.030964971,-0.121163845,-0.036902297,43:03.1,1375.8,108,-0.070101324,0.712110639,0.647624373,0.00558348,-0.466991633,-0.470599204,44:02.8,57.7,117.4,1,,,
-0.026411416,0.73420471,0.533452392,-0.079296201,-0.007542908,-0.039345756,43:03.7,1376.4,109,0.09455391,0.777300447,0.645309269,0.028338216,-0.172554579,-0.253742069,44:03.9,58.3,118.5,5,,,
-0.035297498,0.392838389,0.637754679,-0.414966702,-0.007237475,0.030598311,43:04.2,1376.9,110,-0.052143778,0.688681126,0.66651091,-0.047867224,0.029794537,0.067573048,44:05.0,58.8,119.6,5,,,
0.022305025,0.669621944,0.687225163,0.003476039,0.023916652,5.50E-05,43:04.8,1377.5,111,-0.078000068,0.680183381,0.68564111,-0.090169638,0.799179286,0.709897876,44:06.1,59.4,120.7,5,,,
-0.115272246,0.713567376,0.711107373,-0.07807447,0.058125105,0.096266329,43:05.3,1378,112,-0.222028663,0.47915113,0.66785121,-0.1758435,0.454498574,0.661028653,44:07.2,59.9,121.8,3,,,
-0.037272185,0.675448954,0.65286386,-0.070133224,0.089279234,0.074886046,43:05.9,1378.6,113,0.024885476,0.804371804,0.816140741,0.010470409,0.233518092,0.185317328,44:08.3,60.5,122.9,3,,,
-0.25053817,0.699728191,0.48690632,0.038906217,0.119822495,0.020213602,43:06.4,1379.1,114,0.29141999,0.602732539,0.549780115,-0.105135843,-0.212108105,-0.325824156,44:09.4,61,124,2,,,
-0.04368991,0.724735796,0.684788108,-0.060053945,0.139981046,0.155214816,43:07.0,1379.7,115,0.07186107,0.645949662,0.769960195,0.004514471,-0.366504282,-0.392713919,44:10.6,61.6,125.1,2,,,
-0.008392412,0.713324547,0.64945209,-0.080517933,0.131734371,0.108178198,43:07.5,1380.2,116,0.012173282,0.698999792,0.715615809,-0.058404647,-0.080619369,-0.119962569,44:11.7,62.1,126.3,2,,,
-0.093057036,0.686617434,0.629956365,0.077696159,0.071869574,0.161018044,43:08.1,1380.8,117,0.02002896,0.630532324,0.744250178,-0.148659997,-0.097876311,-0.004814471,44:12.8,62.7,127.4,5,,,
-0.104411483,0.714052975,0.733283818,-0.103119954,0.122571386,0.091073975,43:08.6,1381.3,118,0.037094226,0.210229464,0.344188441,-0.675531298,0.344390119,0.049247101,44:13.9,63.2,128.5,3,,,
-0.075284868,0.622277379,0.569275796,-0.046309486,0.136621296,0.180871159,43:09.2,1381.9,119,-0.083599965,0.825737566,0.818943262,0.04834405,-0.069623796,-0.003898174,44:15.0,63.8,129.6,5,,,
0.032730199,0.663794875,0.704283893,-0.084794,0.025443815,0.018991873,43:09.7,1382.4,120,0.026062937,0.731291234,0.708792299,-0.164389774,-0.018311114,-0.043451698,44:16.1,64.3,130.7,5,,,
0.107403539,0.444553196,0.264654756,0.078612462,0.138453886,-0.143192843,43:10.3,1383,121,-0.035420916,0.573233262,0.516759157,-0.253117934,0.063392109,-0.04620059,44:17.1,64.9,131.7,5,,,
