,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
0.034669768,-0.159209087,0.976980627,0.010232158,0.006768562,-0.013916573,30:57.6,79.6,102,0.02133524,0.010422084,1.054963648,-0.033902507,-0.017578161,-0.052528372,31:51.6,53.5,118.5,5
0.051398534,-0.163309932,0.994039416,0.004167758,0.01548128,-0.017926926,30:58.1,80.1,103,0.019880566,0.059810024,0.90825814,0.163101535,0.119255653,-0.004575451,31:52.7,54,119.6,5
0.080492049,-0.14208205,0.943594158,-0.008965842,0.002042245,-0.022202983,30:58.6,80.6,104,0.057096012,0.033505376,0.906308562,0.005345587,0.014339549,-0.011753118,31:53.7,54.5,120.6,4
0.056732342,-0.14304696,0.941157222,-0.044701461,-0.037053131,-0.005404189,30:59.2,81.2,105,0.026691502,0.029260423,0.937745482,-0.017409144,0.007620031,-0.003506437,31:54.8,55.1,121.7,4
0.112252459,-0.151489854,1.078602314,-0.027597234,0.000820514,0.055682335,30:59.7,81.7,106,-0.030810907,0.040789152,0.955535352,-0.012369502,-0.016050998,0.021691754,31:55.8,55.6,122.7,4
0.027638834,-0.218791887,0.985510051,-0.026986368,-0.005288138,0.042548731,31:00.2,82.2,107,-0.064177269,-0.120175133,1.212513626,-0.001221215,0.020753634,0.041544874,31:56.9,56.1,123.8,1
0.176985517,-0.385720223,1.421971202,-0.120754182,0.043886513,0.037356377,31:00.7,82.7,108,-0.015427228,-0.048002388,0.955413491,0.01354735,-0.000326219,0.001624267,31:58.0,56.6,124.9,1
0.033215091,-0.213484928,0.882913709,-0.008049548,0.000820514,0.005285953,31:01.3,83.3,109,0.033093867,0.055842292,0.952367306,-0.006482659,0.007257546,-0.019854196,31:59.0,57.2,125.9,1
0.081219383,-0.104450814,0.873653233,-0.013852768,0.017924741,-0.058549467,31:01.8,83.8,110,0.054550331,0.089590464,0.955169767,-0.020227127,0.017184107,0.00060979,32:00.1,57.7,127,1
0.00945539,-0.191774592,1.112963438,0.025242612,0.022200799,-0.084205806,31:02.3,84.3,111,-0.065041194,0.078786189,0.953220218,-0.008315256,-0.008930382,0.02993132,32:01.1,58.2,128,5
-0.040974721,-0.29019475,1.062761903,0.031962126,-0.012618521,-0.021897551,31:02.9,84.9,112,-0.001825104,0.084491819,0.945421904,-0.079481054,-0.02023139,0.020921059,32:02.2,58.8,129.1,4
0.037094224,-0.199011371,0.814678609,-0.007438682,0.020673634,0.001620762,31:03.4,85.4,113,0.012869892,-0.020860557,0.865733057,0.002985753,-0.020384106,0.041843195,32:03.3,59.3,130.2,4
-0.016291153,-0.222892731,1.007686496,-0.013547335,0.009067195,0.032164022,31:03.9,86,114,-0.055291186,-0.152454767,1.075312376,-0.029728331,-0.008457505,0.044022295,32:04.3,59.9,131.2,1
0.107888438,-0.213002473,1.142694473,0.010887273,0.049689732,0.069732241,31:04.5,86.5,115,-0.006591627,0.077450834,0.996963859,-0.004058888,-0.002039512,-0.034635656,32:05.4,60.4,132.3,1
-0.119221613,-0.189844787,1.044728398,0.354193568,-0.00315011,0.068205073,31:05.0,87,116,0.008328587,0.067981921,0.946031183,-0.010931121,0.041484633,-0.064720768,32:06.4,60.9,133.3,1
0.007273377,-0.230853185,0.695023417,0.623279691,0.054576658,0.048657384,31:05.5,87.5,117,0.071157878,0.05729905,1.04143846,0.02877512,-0.031513759,0.060964754,32:07.5,61.4,134.4,1
0.077340245,-0.04173208,0.821745753,0.068308607,-0.012313088,0.162889183,31:06.1,88.1,118,-0.007839145,0.057177651,0.87682128,-0.060869355,0.020715218,0.143431563,32:08.6,62,135.5,5
-0.003702535,-0.077433512,1.065930009,0.0298241,-0.150979504,0.650665045,31:06.6,88.6,119,-0.044163499,-0.015247343,1.034127563,-0.048957482,0.008345197,0.036224714,32:09.6,62.5,136.5,3
-0.10169629,0.014324762,0.926535428,-0.033400454,-0.143343687,1.085601211,31:07.1,89.1,120,0.027032719,-0.017673682,0.972106755,-0.129591696,-0.053810341,0.026756303,32:10.7,63,137.6,3
-0.295215428,-0.010372713,0.973568916,-0.167179942,-0.075843073,1.239539266,31:07.6,89.6,121,0.198563203,0.023886105,0.820771009,0.109562047,0.009719644,-0.632214586,32:11.7,63.5,138.6,2
-0.227829307,-0.00820168,1.411004782,-0.108842313,0.054882087,1.244120717,31:08.2,90.2,122,0.187289467,0.045413177,1.152442396,-0.22106877,0.133114427,-0.628396695,32:12.8,64.1,139.7,2
-0.085158296,0.129408449,0.905090094,0.028296933,-0.037053131,0.351035655,31:08.7,90.7,123,-0.239924252,-0.02942956,1.013535172,-0.086372979,-0.101305112,1.059729397,32:13.8,64.6,140.7,5
0.129951015,0.127951682,0.816871822,-0.048366651,-0.027279286,-0.171254098,31:09.2,91.2,124,-0.247082487,0.052928783,0.967232794,-0.04040537,-0.068165673,1.178237259,32:14.9,65.1,141.8,3
-0.227829307,-0.113858625,0.789821446,0.048455492,0.027393153,-0.45377928,31:09.8,91.8,125,-0.037594497,-0.032203655,0.965405077,-0.000393696,-0.05686467,0.241475463,32:15.9,65.7,142.8,3
0.486346513,-0.116029657,0.686250329,0.011803575,0.063434198,-1.058841228,31:10.3,92.3,126,0.247900955,-0.080690062,0.911913604,0.003271498,0.086077802,-1.402210295,32:17.0,66.2,143.9,2
0.399065971,-0.020262975,0.758871973,-0.159849554,0.139486924,-1.418946266,31:10.8,92.8,127,0.136297313,-0.029050486,0.933480799,0.007700264,0.052632924,-0.84189409,32:18.1,66.7,145,2
0.33263579,0.007283777,1.55356741,-0.429852009,-0.120436236,-0.80808115,31:11.3,93.3,128,-0.274357811,-0.047642116,0.97722438,-0.095230523,-0.075496056,1.206642449,32:19.1,67.2,146,2
0.237354562,0.679333568,2.090431452,0.139168978,-0.521469295,-0.615658581,31:11.9,93.9,129,-0.155259632,0.100394733,0.995501637,-0.004364319,-0.071830863,0.794766665,32:20.2,67.8,147.1,3
